trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-42.553561907911046,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,0,-34.9821378441053,"{0: 17, 1: 6, 2: 1, 3: 1, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,0,-98.04597815090646,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,-105.66440127148387,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,9,-27.502206454375443,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.631283645506926}",25,18,12.660826597497078,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-112.50677142530012,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,0,-49.03520497731983,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",25,0,-155.91048263381995,"{0: 14, 1: 1, 2: 5, 3: 4, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,18,5.261617426552764,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,0,-39.64380176250361,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.5945205479701944}",35,0,-177.33380454659337,"{0: 26, 1: 0, 2: 5, 3: 0, 4: 4}",0
54,False,"{'a': 0.5, 'e': 0.5886049696783552}",25,9,-58.62447790037504,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,7,-58.999127500683265,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,16,14.519475179626005,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,8,7.406790457961763,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5655254386995371}",30,0,-66.3895451507079,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.559898366565402}",25,0,-157.273241213202,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.5543272847345071}",25,17,-38.533885621644764,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,0,0.41252543155421373,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,0,-49.96786186051943,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,0,-68.15553496594876,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
